Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
KALIMANTAN TENGAH,Murung Raya,5975994,3.03,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,5.86,0
KALIMANTAN SELATAN,Tanah Laut,10516399,3.52,0
KALIMANTAN SELATAN,Kota Baru,17887219,5.57,0
KALIMANTAN SELATAN,Banjar,12108903,3.98,0
KALIMANTAN SELATAN,Barito Kuala,5942832,3.22,0
KALIMANTAN SELATAN,Tapin,6575521,4.96,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,2.44,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,3.76,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,4.8,0
KALIMANTAN SELATAN,Tabalong,14957253,3.43,0
KALIMANTAN SELATAN,Tanah Bumbu,16047002,6.83,1
KALIMANTAN SELATAN,Balangan,9477288,2.44,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,8.47,1
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,5.7,0
KALIMANTAN TIMUR,Paser,36588972,5.7,0
KALIMANTAN TIMUR,Kutai Barat,21509219,5.14,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,5.66,1
KALIMANTAN TIMUR,Kutai Timur,91906125,5.35,1
KALIMANTAN TIMUR,Berau,28802736,5.82,0
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,2.95,0
KALIMANTAN TIMUR,Mahakam Hulu,1786101,3.14,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,8.94,1
KALIMANTAN TIMUR,Kota Samarinda,46282119,8.16,1
KALIMANTAN TIMUR,Kota Bontang,39949434,9.92,1
KALIMANTAN UTARA,Malinau,8190168,4.14,0
KALIMANTAN UTARA,Bulungan,12014801,4.54,0
KALIMANTAN UTARA,Tana Tidung,3818805,5.26,0
KALIMANTAN UTARA,Nunukan,16353329,4.24,0
KALIMANTAN UTARA,Kota Tarakan,22965209,4.94,0
SULAWESI UTARA,Bolaang Mongondow,5726207,4.85,0
SULAWESI UTARA,Minahasa,12095806,6.14,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,4.72,0
SULAWESI UTARA,Kepulauan Talaud,1665598,2.3,0
SULAWESI UTARA,Minahasa Selatan,6371366,4.9,0
SULAWESI UTARA,Minahasa Utara,9884318,8.12,1
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,5.23,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,3.39,0
SULAWESI UTARA,Minahasa Tenggara,3769488,3.39,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,4.6,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,5.99,0
SULAWESI UTARA,Kota Manado,26056517,12.17,1
SULAWESI UTARA,Kota Bitung,11846006,9.96,1
SULAWESI UTARA,Kota Tomohon,3215178,8.84,1
