Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Klaster
BENGKULU,Bengkulu Tengah,0.4288978500452035,7.557823240794e-30,0.014019612061925972,0.5570825378928704,3
BENGKULU,Kota Bengkulu,0.9817367998218798,4.235444077104317e-37,0.01826320017812033,5.359721203189664e-25,0
LAMPUNG,Lampung Barat,0.7072174014204342,9.381391437667466e-44,0.0108768315711368,0.28190576700842906,0
LAMPUNG,Tanggamus,0.983600070261757,3.1455456956693693e-40,0.01639992923528084,5.02962166707642e-10,0
LAMPUNG,Lampung Selatan,0.24481826212662203,2.2615917642457977e-30,0.755181737873378,1.8961157766104504e-115,2
LAMPUNG,Lampung Timur,0.36359515658392705,1.9143618607943574e-45,0.6364048434160734,2.73946506007534e-105,2
LAMPUNG,Lampung Tengah,1.1540885619393047e-07,4.06120516220108e-29,0.9999998845911438,1.6e-322,2
LAMPUNG,Lampung Utara,0.9926061411521264,5.649041160484175e-44,0.0073938588478735506,3.8492320189944206e-29,0
LAMPUNG,Way Kanan,0.985814971398557,7.092970272765228e-41,0.014184804797821395,2.2380362157270697e-07,0
LAMPUNG,Tulangbawang,0.959792192682979,1.0405993720915112e-28,0.040207807317020935,3.222582203940518e-25,0
LAMPUNG,Pesawaran,0.987561271974682,2.8107824728525396e-41,0.012438728003850078,2.146796173942348e-11,0
LAMPUNG,Pringsewu,0.9666441652407478,3.404399995966556e-26,0.031832275784718735,0.001523558974533455,0
LAMPUNG,Mesuji,0.9782322935879424,1.5853266917383157e-29,0.013339518509248569,0.008428187902809147,0
LAMPUNG,Tulang Bawang Barat,0.984836398220649,4.632580438421842e-31,0.014569668237110573,0.0005939335422404702,0
LAMPUNG,Pesisir Barat,0.22643383187727073,4.073352920017726e-48,0.0035724124527633408,0.769993755669966,3
LAMPUNG,Kota Bandar Lampung,9.778408660424711e-05,1.1588578688564727e-07,0.9999021000276087,1.029223814823844e-199,2
LAMPUNG,Kota Metro,0.4184263457798823,7.774629734555911e-24,0.020214363577397792,0.5613592906427199,3
KEP. BANGKA BELITUNG,Bangka,0.9624627167082693,7.433748065146832e-15,0.037537028978398515,2.543133248451767e-07,0
KEP. BANGKA BELITUNG,Belitung,0.9633937638432029,1.6009963279245842e-28,0.012787250511054197,0.023818985645742995,0
KEP. BANGKA BELITUNG,Bangka Barat,0.9947676738409986,8.667842047528964e-23,0.005231693487917927,6.326710833472351e-07,0
KEP. BANGKA BELITUNG,Bangka Tengah,0.7680939790880055,1.6658900785313067e-19,0.015344677396707864,0.21656134351528675,0
KEP. BANGKA BELITUNG,Bangka Selatan,0.7640477157901603,3.4598960196744597e-17,0.01291812251963,0.22303416169020981,0
KEP. BANGKA BELITUNG,Belitung Timur,0.8348933135240713,2.8962493350452114e-27,0.012962848964340367,0.15214383751158833,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,0.9157678691042933,1.0230215474437994e-11,0.08415428739380047,7.784349167582881e-05,0
KEPULAUAN RIAU,Karimun,0.8180528631063417,1.1502247732872284e-11,0.1817996593968288,0.00014747748532717908,0
KEPULAUAN RIAU,Bintan,0.4309298265846794,8.129355313276467e-07,0.5690693604797753,1.3754891109851495e-14,2
KEPULAUAN RIAU,Natuna,0.9699052914453599,5.2660430806450024e-18,0.03009470855464017,3.4323377601570594e-18,0
KEPULAUAN RIAU,Lingga,0.22145815037156236,1.5313562899648966e-38,0.0068970035196580385,0.7716448461087796,3
KEPULAUAN RIAU,Kepulauan Anambas,0.9822371562790357,1.000754429515479e-40,0.017762843353710988,3.6725310484176337e-10,0
KEPULAUAN RIAU,Kota Batam,6.912424325939094e-55,0.9441205054138284,0.05587949458617149,0.0,1
KEPULAUAN RIAU,Kota Tanjung Pinang,0.9056480961348155,3.1353493871173435e-18,0.0943519038651844,8.056792529578622e-17,0
DKI JAKARTA,Kepulauan Seribu,0.016273806818663965,4.8889852157600087e-20,0.055093181880567485,0.9286330113007684,3
DKI JAKARTA,Kota Jakarta Selatan,0.0,1.0,1.679244042538464e-45,0.0,1
DKI JAKARTA,Kota Jakarta Timur,0.0,1.0,1.5836560610553565e-22,0.0,1
DKI JAKARTA,Kota Jakarta Pusat,0.0,1.0,2.930901663490023e-53,0.0,1
DKI JAKARTA,Kota Jakarta Barat,0.0,1.0,2.8652623760430018e-25,0.0,1
DKI JAKARTA,Kota Jakarta Utara,0.0,1.0,7.081918813366922e-26,0.0,1
JAWA BARAT,Bogor,5.939419561501658e-121,0.9998990652349727,0.0001009347650273429,0.0,1
JAWA BARAT,Sukabumi,9.694628814454276e-08,8.975641893330231e-05,0.9999101466347787,1.6915810023149098e-298,2
