Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Klaster
SULAWESI UTARA,Minahasa Selatan,4.9,2
SULAWESI UTARA,Minahasa Utara,8.12,1
SULAWESI UTARA,Bolaang Mongondow Utara,5.23,2
SULAWESI UTARA,Siau Tagulandang Biaro,3.39,0
SULAWESI UTARA,Minahasa Tenggara,3.39,0
SULAWESI UTARA,Bolaang Mongondow Selatan,4.6,2
SULAWESI UTARA,Bolaang Mongondow Timur,5.99,2
SULAWESI UTARA,Kota Manado,12.17,1
SULAWESI UTARA,Kota Bitung,9.96,1
SULAWESI UTARA,Kota Tomohon,8.84,1
SULAWESI UTARA,Kota Kotamobagu,7.32,2
SULAWESI TENGAH,Banggai Kepulauan,2.95,0
SULAWESI TENGAH,Banggai,3.57,0
SULAWESI TENGAH,Morowali,5.08,2
SULAWESI TENGAH,Poso,2.47,0
SULAWESI TENGAH,Donggala,3.5,0
SULAWESI TENGAH,Toli-Toli,3.13,0
SULAWESI TENGAH,Buol,3.64,0
SULAWESI TENGAH,Parigi Moutong,2.97,0
SULAWESI TENGAH,Tojo Una-Una,3.44,0
SULAWESI TENGAH,Sigi,2.38,0
SULAWESI TENGAH,Banggai Laut,3.35,0
SULAWESI TENGAH,Morowali Utara,2.98,0
SULAWESI TENGAH,Kota Palu,7.61,1
SULAWESI SELATAN,Kepulauan Selayar,2.81,0
SULAWESI SELATAN,Bulukumba,3.14,0
SULAWESI SELATAN,Bantaeng,4.07,0
SULAWESI SELATAN,Jeneponto,2.38,0
SULAWESI SELATAN,Takalar,3.93,0
SULAWESI SELATAN,Gowa,4.3,2
SULAWESI SELATAN,Sinjai,2.61,0
SULAWESI SELATAN,Maros,6.3,2
SULAWESI SELATAN,Pangkajene Dan Kepulauan,5.86,2
SULAWESI SELATAN,Barru,6.74,2
SULAWESI SELATAN,Bone,4.15,0
SULAWESI SELATAN,Soppeng,3.92,0
SULAWESI SELATAN,Wajo,4.32,2
SULAWESI SELATAN,Sidenreng Rappang,4.93,2
SULAWESI SELATAN,Pinrang,4.06,0
SULAWESI SELATAN,Enrekang,2.34,0
SULAWESI SELATAN,Luwu,4.8,2
SULAWESI SELATAN,Tana Toraja,3.09,0
