Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
SUMATERA SELATAN,Banyu Asin,0.025724068357638442,0.005851920462930001,2.6320297151591425e-32,5.495357940673733e-60,0.12752158508884745,0.8409024260905841,5
SUMATERA SELATAN,Ogan Komering Ulu Selatan,0.0012690205800065775,0.9853385633446597,2.0891751823339788e-38,0.00611823938335882,8.177709602690919e-05,0.007192399595947954,1
SUMATERA SELATAN,Ogan Komering Ulu Timur,0.0022906501259485172,0.9271876399833492,4.037521465874469e-37,7.309464405446653e-12,0.0007551396378283114,0.06976657024556453,1
SUMATERA SELATAN,Ogan Ilir,0.001481595504774753,0.9974652370861646,5.5199648444409e-46,1.2018778707500753e-05,0.0006441275141030146,0.0003970211162501461,1
SUMATERA SELATAN,Empat Lawang,0.0008769548196300922,0.7864515279841138,2.485754217716547e-49,0.2125771505380861,1.9623717734398114e-05,7.474294043574054e-05,1
SUMATERA SELATAN,Penukal Abab Lematang Ilir,0.002328654409772853,0.8430610516817209,3.137765325352945e-40,0.15353831291082332,0.00033309495485875807,0.0007388860428242229,1
SUMATERA SELATAN,Musi Rawas Utara,0.0032033363233525546,0.00010426867189421725,1.0212334066592805e-43,0.05026429768075688,0.9464280971508287,1.7316762015814096e-10,4
SUMATERA SELATAN,Kota Palembang,0.9998262979486422,3.638402202769813e-154,0.00017370205135757843,0.0,1.237182351611123e-49,2.4292291700154627e-53,0
SUMATERA SELATAN,Kota Prabumulih,0.0916121840255746,0.0872526971668146,3.815928593714898e-25,0.6903857298428112,0.08258792359533296,0.048161465369466534,3
SUMATERA SELATAN,Kota Pagar Alam,0.0007032761081906292,0.9178106992936143,1.0707769206462476e-44,0.07547758513614605,2.8005537140969266e-07,0.006008159406677712,1
SUMATERA SELATAN,Kota Lubuklinggau,0.035052019747874495,0.0035752461765515206,6.787257325377923e-26,0.9097676135268935,0.04952189987632327,0.002083220672357164,3
BENGKULU,Bengkulu Selatan,0.000398983760457792,0.34654788573683265,5.223203072272937e-64,0.6526564137203084,0.0003967140890791987,2.6933218984493347e-09,3
BENGKULU,Rejang Lebong,0.0010452113712296966,0.996063559964867,2.55434757258734e-56,0.0024519918132302762,0.000434996313389203,4.240537283830343e-06,1
BENGKULU,Bengkulu Utara,0.0018775015603509548,0.9569320535965372,9.409440036889083e-38,0.036308429101247076,0.00016125751292378812,0.004720758228941001,1
BENGKULU,Kaur,0.0002512111100623874,0.0597597718843372,1.2206628688964167e-59,0.9393195178601054,0.0006694989226779757,2.2281705735010033e-10,3
BENGKULU,Seluma,0.0002359797447096818,0.07169145448984801,4.6089191432204986e-60,0.9272149875499168,0.0008575779634175493,2.521079489990537e-10,3
BENGKULU,Mukomuko,0.0020368335749440278,0.5310313528153391,1.481993294620284e-37,0.4653031249159353,9.893110645644047e-05,0.0015297575873251432,1
BENGKULU,Lebong,0.0016971335863357855,0.660305763485813,9.040396155826827e-41,0.33729754971995213,2.4104209413103257e-05,0.0006754489984859116,1
BENGKULU,Kepahiang,0.0008085671783939547,0.6279423302205952,2.813640959960148e-57,0.371231007758985,1.5058020006295706e-05,3.0368220194905526e-06,1
BENGKULU,Bengkulu Tengah,0.0029303218342065156,0.42363458045106933,1.535912126001291e-30,0.5424397587740821,6.21769983245542e-05,0.030933161942317405,3
BENGKULU,Kota Bengkulu,0.014470117693333636,0.0024992023149091234,1.3704959783955384e-37,9.845679397084235e-32,0.9830165227863363,1.4157205420777075e-05,4
LAMPUNG,Lampung Barat,0.0010886641427456194,0.9584377644892816,4.659309822688705e-45,0.03997190971608771,6.48895347583318e-05,0.0004367721171266695,1
LAMPUNG,Tanggamus,0.0027801005788240206,0.9688016224129357,2.9429013218042477e-41,3.5479909477296786e-13,0.0012826950002059623,0.027135582007679453,1
LAMPUNG,Lampung Selatan,0.2941438241891651,7.524937811194199e-08,4.050434282761208e-31,4.2836497839797284e-144,0.6180909655177848,0.08776513504367184,4
LAMPUNG,Lampung Timur,0.09522430207578371,1.5852342701440428e-07,7.88486021704259e-47,5.485000816993323e-132,0.8168356448373815,0.08793989456340769,4
LAMPUNG,Lampung Tengah,0.997946129973633,4.9189913401740105e-27,1.623567012405793e-29,0.0,0.001993236343090035,6.063368327711594e-05,0
LAMPUNG,Lampung Utara,0.005220342364494651,0.0017891826250975536,1.3244402643989635e-44,6.463985746571043e-37,0.9929901793797969,2.95630610875047e-07,4
LAMPUNG,Way Kanan,0.0025123997555232857,0.9918272071256795,6.011327613716743e-42,9.185008274962921e-10,0.0019929701567371182,0.0036674220435592847,1
LAMPUNG,Tulangbawang,0.011227538750251837,0.1470771215148545,2.3293551026394558e-29,4.259436680338448e-32,0.02592112467902425,0.8157742150558694,5
LAMPUNG,Pesawaran,0.009188904458744577,0.9298474945774495,8.122824879964833e-42,2.8688663636837964e-14,0.05994724925180496,0.0010163517119721813,1
LAMPUNG,Pringsewu,0.014247175747339082,0.7057865052213974,1.3555246344114958e-26,0.0002052487323376058,0.006018243763091026,0.27374282653583487,1
