Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SULAWESI BARAT,Mamuju Tengah,7.13,2
MALUKU,Maluku Tenggara Barat,27.27,1
MALUKU,Maluku Tenggara,22.73,1
MALUKU,Maluku Tengah,19.84,0
MALUKU,Buru,17.28,0
MALUKU,Kepulauan Aru,26.53,1
MALUKU,Seram Bagian Barat,25.27,1
MALUKU,Seram Bagian Timur,23.25,1
MALUKU,Maluku Barat Daya,29.55,1
MALUKU,Buru Selatan,15.89,0
MALUKU,Kota Ambon,5.02,2
MALUKU,Kota Tual,23.26,1
MALUKU UTARA,Halmahera Barat,8.95,2
MALUKU UTARA,Halmahera Tengah,13.52,0
MALUKU UTARA,Kepulauan Sula,8.23,2
MALUKU UTARA,Halmahera Selatan,5.19,2
MALUKU UTARA,Halmahera Utara,5.22,2
MALUKU UTARA,Halmahera Timur,15.04,0
MALUKU UTARA,Pulau Morotai,6.52,2
MALUKU UTARA,Pulau Taliabu,7.49,2
MALUKU UTARA,Kota Ternate,3.55,2
MALUKU UTARA,Kota Tidore Kepulauan,6.58,2
PAPUA BARAT,Fakfak,22.86,1
PAPUA BARAT,Kaimana,16.04,0
PAPUA BARAT,Teluk Wondama,31.61,1
PAPUA BARAT,Teluk Bintuni,29.79,1
PAPUA BARAT,Manokwari,20.56,0
PAPUA BARAT,Sorong Selatan,18.55,0
PAPUA BARAT,Sorong,27.78,1
PAPUA BARAT,Raja Ampat,17.5,0
PAPUA BARAT,Tambrauw,33.86,1
PAPUA BARAT,Maybrat,31.39,1
PAPUA BARAT,Manokwari Selatan,29.3,1
PAPUA BARAT,Pegunungan Arfak,34.7,1
PAPUA BARAT,Kota Sorong,15.35,0
PAPUA,Merauke,10.16,2
PAPUA,Jayawijaya,37.09,1
PAPUA,Jayapura,12.13,0
PAPUA,Nabire,23.83,1
PAPUA,Kepulauan Yapen,26.09,1
PAPUA,Biak Numfor,24.45,1
PAPUA,Paniai,36.59,1
PAPUA,Puncak Jaya,36.0,1
PAPUA,Mimika,14.17,0
PAPUA,Boven Digoel,19.9,0
PAPUA,Mappi,26.05,1
PAPUA,Asmat,24.83,1
PAPUA,Yahukimo,37.64,1
PAPUA,Pegunungan Bintang,30.46,1
PAPUA,Tolikara,32.6,1
PAPUA,Sarmi,13.84,0
PAPUA,Keerom,16.0,0
PAPUA,Waropen,29.85,1
PAPUA,Supiori,37.91,1
PAPUA,Mamberamo Raya,28.78,1
PAPUA,Nduga *,37.18,1
PAPUA,Lanny Jaya,38.73,1
PAPUA,Mamberamo Tengah,36.76,1
PAPUA,Yalimo,33.25,1
PAPUA,Puncak,36.26,1
PAPUA,Dogiyai,28.81,1
PAPUA,Intan Jaya,41.66,1
PAPUA,Deiyai,40.59,1
PAPUA,Kota Jayapura,11.39,0
