Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
BALI,Jembrana,8892801,4.11,5.06,0
BALI,Tabanan,14516578,3.94,5.12,0
BALI,Badung,29049519,6.93,2.62,0
BALI,Gianyar,17254614,6.9,4.85,0
BALI,Klungkung,5595883,5.35,5.64,0
BALI,Bangli,4384701,1.8,5.09,0
BALI,Karang Asem,10570603,2.32,6.78,0
BALI,Buleleng,21797733,5.38,6.12,0
BALI,Kota Denpasar,32447056,7.02,2.96,0
NUSA TENGGARA BARAT,Lombok Barat,10472388,3.32,14.47,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,2.33,13.44,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,2.79,15.38,0
NUSA TENGGARA BARAT,Sumbawa,10221006,3.39,13.91,0
NUSA TENGGARA BARAT,Dompu,4979197,3.02,12.6,0
NUSA TENGGARA BARAT,Bima,8085529,1.58,14.88,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,5.52,13.54,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,1.75,27.04,2
NUSA TENGGARA BARAT,Kota Mataram,13476129,5.19,8.65,0
NUSA TENGGARA BARAT,Kota Bima,2939133,3.56,8.88,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,1.74,28.39,2
NUSA TENGGARA TIMUR,Sumba Timur,4009592,3.35,29.68,2
NUSA TENGGARA TIMUR,Kupang,4885118,3.99,22.98,2
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,2.57,26.64,2
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,3.88,22.62,2
NUSA TENGGARA TIMUR,Belu,3020198,5.35,15.68,0
NUSA TENGGARA TIMUR,Alor,2045994,2.59,21.09,0
NUSA TENGGARA TIMUR,Lembata,1180363,4.94,26.21,2
NUSA TENGGARA TIMUR,Flores Timur,3517877,3.81,11.14,0
NUSA TENGGARA TIMUR,Sikka,3371315,4.54,13.35,0
NUSA TENGGARA TIMUR,Ende,4162984,2.61,24.13,2
NUSA TENGGARA TIMUR,Ngada,2335872,2.99,12.58,0
NUSA TENGGARA TIMUR,Manggarai,3025880,3.7,20.48,0
NUSA TENGGARA TIMUR,Rote Ndao,1971699,3.67,28.08,2
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,4.94,17.92,0
NUSA TENGGARA TIMUR,Sumba Tengah,767260,1.45,34.27,2
NUSA TENGGARA TIMUR,Sumba Barat Daya,2355164,2.04,28.18,2
NUSA TENGGARA TIMUR,Nagekeo,1406360,0.97,12.91,0
NUSA TENGGARA TIMUR,Manggarai Timur,2086842,1.96,26.5,2
NUSA TENGGARA TIMUR,Sabu Raijua,785138,1.25,30.13,2
NUSA TENGGARA TIMUR,Malaka,1915540,3.43,16.33,0
NUSA TENGGARA TIMUR,Kota Kupang,16530278,9.76,9.17,0
KALIMANTAN BARAT,Sambas,13948120,3.97,7.66,0
KALIMANTAN BARAT,Bengkayang,5842930,4.42,6.48,0
KALIMANTAN BARAT,Landak,7312662,3.22,10.99,0
KALIMANTAN BARAT,Pontianak,5466323,7.71,5.18,0
KALIMANTAN BARAT,Sanggau,13790449,3.45,4.55,0
KALIMANTAN BARAT,Ketapang,18848703,6.94,10.13,0
KALIMANTAN BARAT,Sintang,9731976,3.95,9.28,0
KALIMANTAN BARAT,Kapuas Hulu,6510868,4.18,8.93,0
KALIMANTAN BARAT,Sekadau,4435321,2.92,6.26,0
KALIMANTAN BARAT,Melawi,3500136,2.66,12.01,0
KALIMANTAN BARAT,Kayong Utara,2632989,3.78,9.33,0
KALIMANTAN BARAT,Kubu Raya,18754974,7.02,4.34,0
KALIMANTAN BARAT,Kota Pontianak,24919417,12.38,4.58,0
KALIMANTAN BARAT,Kota Singkawang,6977774,9.16,4.83,0
KALIMANTAN TENGAH,Kotawaringin Barat,13733984,4.7,3.95,0
KALIMANTAN TENGAH,Kotawaringin Timur,18269734,5.15,5.91,0
KALIMANTAN TENGAH,Kapuas,11306032,4.91,5.35,0
KALIMANTAN TENGAH,Barito Selatan,4326702,4.16,4.62,0
KALIMANTAN TENGAH,Barito Utara,7151778,5.14,5.61,0
KALIMANTAN TENGAH,Sukamara,3043322,4.65,3.66,0
KALIMANTAN TENGAH,Lamandau,3968760,2.3,3.56,0
KALIMANTAN TENGAH,Seruyan,6033556,4.25,7.22,0
KALIMANTAN TENGAH,Katingan,5087479,5.5,5.25,0
KALIMANTAN TENGAH,Pulang Pisau,3596824,2.6,4.24,0
KALIMANTAN TENGAH,Gunung Mas,3804709,3.11,5.35,0
KALIMANTAN TENGAH,Barito Timur,5336339,3.22,6.38,0
KALIMANTAN TENGAH,Murung Raya,5975994,3.03,6.15,0
KALIMANTAN TENGAH,Kota Palangka Raya,11031469,5.86,3.75,0
KALIMANTAN SELATAN,Tanah Laut,10516399,3.52,4.57,0
KALIMANTAN SELATAN,Kota Baru,17887219,5.57,4.86,0
KALIMANTAN SELATAN,Banjar,12108903,3.98,3.04,0
KALIMANTAN SELATAN,Barito Kuala,5942832,3.22,5.11,0
KALIMANTAN SELATAN,Tapin,6575521,4.96,3.6,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,4844532,2.44,4.84,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,4978193,3.76,6.18,0
KALIMANTAN SELATAN,Hulu Sungai Utara,3409822,4.8,6.83,0
KALIMANTAN SELATAN,Tabalong,14957253,3.43,6.27,0
KALIMANTAN SELATAN,Tanah Bumbu,16047002,6.83,4.82,0
KALIMANTAN SELATAN,Balangan,9477288,2.44,6.07,0
KALIMANTAN SELATAN,Kota Banjarmasin,22672492,8.47,4.89,0
KALIMANTAN SELATAN,Kota Banjar Baru,6321365,5.7,4.4,0
KALIMANTAN TIMUR,Paser,36588972,5.7,9.73,0
KALIMANTAN TIMUR,Kutai Barat,21509219,5.14,10.24,0
KALIMANTAN TIMUR,Kutai Kartanegara,124178505,5.66,7.99,0
KALIMANTAN TIMUR,Kutai Timur,91906125,5.35,9.81,0
KALIMANTAN TIMUR,Berau,28802736,5.82,5.88,0
KALIMANTAN TIMUR,Penajam Paser Utara,6492343,2.95,7.61,0
KALIMANTAN TIMUR,Mahakam Hulu,1786101,3.14,11.9,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,8.94,2.89,0
KALIMANTAN TIMUR,Kota Samarinda,46282119,8.16,4.99,0
KALIMANTAN TIMUR,Kota Bontang,39949434,9.92,4.62,0
KALIMANTAN UTARA,Malinau,8190168,4.14,7.3,0
KALIMANTAN UTARA,Bulungan,12014801,4.54,10.03,0
KALIMANTAN UTARA,Tana Tidung,3818805,5.26,5.15,0
KALIMANTAN UTARA,Nunukan,16353329,4.24,6.79,0
KALIMANTAN UTARA,Kota Tarakan,22965209,4.94,6.71,0
SULAWESI UTARA,Bolaang Mongondow,5726207,4.85,7.58,0
SULAWESI UTARA,Minahasa,12095806,6.14,7.67,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,4.72,11.02,0
SULAWESI UTARA,Kepulauan Talaud,1665598,2.3,9.0,0
SULAWESI UTARA,Minahasa Selatan,6371366,4.9,9.37,0
SULAWESI UTARA,Minahasa Utara,9884318,8.12,7.11,0
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,5.23,8.03,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,3.39,8.94,0
SULAWESI UTARA,Minahasa Tenggara,3769488,3.39,12.47,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,4.6,12.85,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,5.99,6.1,0
SULAWESI UTARA,Kota Manado,26056517,12.17,6.19,0
SULAWESI UTARA,Kota Bitung,11846006,9.96,6.43,0
SULAWESI UTARA,Kota Tomohon,3215178,8.84,5.69,0
SULAWESI UTARA,Kota Kotamobagu,2497919,7.32,5.74,0
SULAWESI TENGAH,Banggai Kepulauan,2735237,2.95,13.72,0
SULAWESI TENGAH,Banggai,18864238,3.57,7.83,0
SULAWESI TENGAH,Morowali,54916245,5.08,13.75,0
SULAWESI TENGAH,Poso,6523785,2.47,15.92,0
SULAWESI TENGAH,Donggala,8544440,3.5,16.73,0
SULAWESI TENGAH,Toli-Toli,5776241,3.13,13.51,0
SULAWESI TENGAH,Buol,4029741,3.64,14.06,0
SULAWESI TENGAH,Parigi Moutong,11621816,2.97,15.28,0
SULAWESI TENGAH,Tojo Una-Una,3878590,3.44,16.6,0
SULAWESI TENGAH,Sigi,6426753,2.38,13.05,0
SULAWESI TENGAH,Banggai Laut,1678039,3.35,14.17,0
SULAWESI TENGAH,Morowali Utara,8916699,2.98,13.9,0
SULAWESI TENGAH,Kota Palu,16385580,7.61,7.17,0
SULAWESI SELATAN,Kepulauan Selayar,3765558,2.81,12.45,0
SULAWESI SELATAN,Bulukumba,9013584,3.14,7.43,0
SULAWESI SELATAN,Bantaeng,6151447,4.07,9.41,0
SULAWESI SELATAN,Jeneponto,7058350,2.38,14.28,0
