Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
KALIMANTAN BARAT,Sambas,3.97,7.66,0
KALIMANTAN BARAT,Bengkayang,4.42,6.48,0
KALIMANTAN BARAT,Landak,3.22,10.99,0
KALIMANTAN BARAT,Pontianak,7.71,5.18,2
KALIMANTAN BARAT,Sanggau,3.45,4.55,0
KALIMANTAN BARAT,Ketapang,6.94,10.13,2
KALIMANTAN BARAT,Sintang,3.95,9.28,0
KALIMANTAN BARAT,Kapuas Hulu,4.18,8.93,0
KALIMANTAN BARAT,Sekadau,2.92,6.26,0
KALIMANTAN BARAT,Melawi,2.66,12.01,0
KALIMANTAN BARAT,Kayong Utara,3.78,9.33,0
KALIMANTAN BARAT,Kubu Raya,7.02,4.34,2
KALIMANTAN BARAT,Kota Pontianak,12.38,4.58,2
KALIMANTAN BARAT,Kota Singkawang,9.16,4.83,2
KALIMANTAN TENGAH,Kotawaringin Barat,4.7,3.95,0
KALIMANTAN TENGAH,Kotawaringin Timur,5.15,5.91,0
KALIMANTAN TENGAH,Kapuas,4.91,5.35,0
KALIMANTAN TENGAH,Barito Selatan,4.16,4.62,0
KALIMANTAN TENGAH,Barito Utara,5.14,5.61,0
KALIMANTAN TENGAH,Sukamara,4.65,3.66,0
KALIMANTAN TENGAH,Lamandau,2.3,3.56,0
KALIMANTAN TENGAH,Seruyan,4.25,7.22,0
KALIMANTAN TENGAH,Katingan,5.5,5.25,0
KALIMANTAN TENGAH,Pulang Pisau,2.6,4.24,0
KALIMANTAN TENGAH,Gunung Mas,3.11,5.35,0
KALIMANTAN TENGAH,Barito Timur,3.22,6.38,0
KALIMANTAN TENGAH,Murung Raya,3.03,6.15,0
KALIMANTAN TENGAH,Kota Palangka Raya,5.86,3.75,0
KALIMANTAN SELATAN,Tanah Laut,3.52,4.57,0
KALIMANTAN SELATAN,Kota Baru,5.57,4.86,0
KALIMANTAN SELATAN,Banjar,3.98,3.04,0
KALIMANTAN SELATAN,Barito Kuala,3.22,5.11,0
KALIMANTAN SELATAN,Tapin,4.96,3.6,0
KALIMANTAN SELATAN,Hulu Sungai Selatan,2.44,4.84,0
KALIMANTAN SELATAN,Hulu Sungai Tengah,3.76,6.18,0
KALIMANTAN SELATAN,Hulu Sungai Utara,4.8,6.83,0
KALIMANTAN SELATAN,Tabalong,3.43,6.27,0
KALIMANTAN SELATAN,Tanah Bumbu,6.83,4.82,2
KALIMANTAN SELATAN,Balangan,2.44,6.07,0
KALIMANTAN SELATAN,Kota Banjarmasin,8.47,4.89,2
KALIMANTAN SELATAN,Kota Banjar Baru,5.7,4.4,0
KALIMANTAN TIMUR,Paser,5.7,9.73,0
KALIMANTAN TIMUR,Kutai Barat,5.14,10.24,0
KALIMANTAN TIMUR,Kutai Kartanegara,5.66,7.99,0
KALIMANTAN TIMUR,Kutai Timur,5.35,9.81,0
KALIMANTAN TIMUR,Berau,5.82,5.88,0
