Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
JAWA BARAT,Bekasi,251828575,10.09,5.21,81.02,2
JAWA BARAT,Bandung Barat,31701786,11.65,11.3,63.78,2
JAWA BARAT,Pangandaran,8022781,3.25,9.65,81.49,0
JAWA BARAT,Kota Bogor,33372476,11.79,7.24,75.35,2
JAWA BARAT,Kota Sukabumi,8851051,10.78,8.25,39.64,2
JAWA BARAT,Kota Bandung,200414035,11.46,4.37,48.9,2
JAWA BARAT,Kota Cirebon,17154552,10.53,10.03,92.71,2
JAWA BARAT,Kota Bekasi,69796936,10.88,4.74,97.54,2
JAWA BARAT,Kota Depok,49946927,9.76,2.58,97.06,2
JAWA BARAT,Kota Cimahi,23275779,13.07,5.35,78.67,2
JAWA BARAT,Kota Tasikmalaya,15981251,7.66,13.13,52.62,0
JAWA BARAT,Kota Banjar,3364261,6.09,7.11,81.92,0
JAWA TENGAH,Cilacap,91944588,9.97,11.67,76.42,2
JAWA TENGAH,Banyumas,40686808,6.05,13.66,79.97,0
JAWA TENGAH,Purbalingga,17731438,6.05,16.24,76.33,0
JAWA TENGAH,Banjarnegara,15536478,5.86,16.23,40.75,1
JAWA TENGAH,Kebumen,20253059,6.03,17.83,88.99,0
JAWA TENGAH,Purworejo,13582556,3.59,12.4,79.81,0
JAWA TENGAH,Wonosobo,14064765,5.26,17.67,53.27,0
JAWA TENGAH,Magelang,23661713,5.03,11.91,78.4,0
JAWA TENGAH,Boyolali,23447366,5.09,10.62,87.72,0
JAWA TENGAH,Klaten,28531109,5.48,13.49,95.37,0
JAWA TENGAH,Sukoharjo,27634118,3.32,8.23,94.27,0
JAWA TENGAH,Wonogiri,21251004,2.43,11.55,92.97,0
JAWA TENGAH,Karanganyar,27034108,5.89,10.68,95.38,0
