Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
LAMPUNG,Lampung Barat,0.5915639189053421,0.40574328657499437,0.002692794519663531,0
LAMPUNG,Tanggamus,1.3616302042804913e-07,0.9944779053503939,0.005521958486585703,1
LAMPUNG,Lampung Selatan,4.1410343849541356e-96,0.9601944481015336,0.03980555189846636,1
LAMPUNG,Lampung Timur,4.2215592384110345e-87,0.9730755796005018,0.026924420399497943,1
LAMPUNG,Lampung Tengah,1.828000730429918e-267,0.005588056796683608,0.9944119432033159,2
LAMPUNG,Lampung Utara,2.078967970539038e-24,0.9997257757884157,0.0002742242115841998,1
LAMPUNG,Way Kanan,1.6742391500749286e-05,0.994745874047618,0.005237383560881344,1
LAMPUNG,Tulangbawang,4.0856002153281585e-20,0.9910246040523042,0.008975395947695879,1
LAMPUNG,Pesawaran,6.198517825361193e-09,0.9966851567248459,0.003314837076636153,1
LAMPUNG,Pringsewu,0.01567281416105809,0.9716744907872403,0.012652695051701583,1
LAMPUNG,Mesuji,0.08802901803684209,0.9071903339763346,0.004780647986823376,1
LAMPUNG,Tulang Bawang Barat,0.01181312156400497,0.9825636312999109,0.005623247136084146,1
LAMPUNG,Pesisir Barat,0.8635001330951718,0.13568891524103055,0.0008109516637976415,0
LAMPUNG,Kota Bandar Lampung,1.572713579883221e-166,0.1812585761822625,0.8187414238177375,2
LAMPUNG,Kota Metro,0.7073624199616912,0.28693971759135334,0.005697862446955452,0
KEP. BANGKA BELITUNG,Bangka,1.5587561418630086e-05,0.9906123761463741,0.009372036292207248,1
KEP. BANGKA BELITUNG,Belitung,0.1779631180420895,0.8178440064717669,0.004192875486143509,1
KEP. BANGKA BELITUNG,Bangka Barat,9.5996870624782e-05,0.9989930223347653,0.000910980794609857,1
KEP. BANGKA BELITUNG,Bangka Tengah,0.5299858269804941,0.4667481321147077,0.003266040904798184,0
KEP. BANGKA BELITUNG,Bangka Selatan,0.5485008087961742,0.4492795166725518,0.0022196745312739415,0
KEP. BANGKA BELITUNG,Belitung Timur,0.4697852388012916,0.526821123084914,0.0033936381137944054,1
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,0.00094807685304512,0.9806379619663959,0.018413961180559,1
KEPULAUAN RIAU,Karimun,0.0010022933402645568,0.9599646146799126,0.039033091979822944,1
KEPULAUAN RIAU,Bintan,2.8026708623936712e-12,0.9197560108822799,0.08024398911491737,1
KEPULAUAN RIAU,Natuna,3.3108903395989967e-14,0.9942114406458179,0.005788559354149041,1
KEPULAUAN RIAU,Lingga,0.8401791969219377,0.15809558752680808,0.0017252155512543028,0
KEPULAUAN RIAU,Kepulauan Anambas,1.5603789843767146e-07,0.997915237653814,0.0020846063082876317,1
KEPULAUAN RIAU,Kota Batam,0.0,4.2496517559877507e-29,1.0,2
KEPULAUAN RIAU,Kota Tanjung Pinang,1.1413852835558456e-13,0.9800265096079961,0.019973490391889764,1
DKI JAKARTA,Kepulauan Seribu,0.8280188866982117,0.16259800437839703,0.00938310892339139,0
DKI JAKARTA,Kota Jakarta Selatan,0.0,0.0,1.0,2
DKI JAKARTA,Kota Jakarta Timur,0.0,4.782703584906248e-302,1.0,2
DKI JAKARTA,Kota Jakarta Pusat,0.0,0.0,1.0,2
DKI JAKARTA,Kota Jakarta Barat,0.0,0.0,1.0,2
DKI JAKARTA,Kota Jakarta Utara,0.0,0.0,1.0,2
JAWA BARAT,Bogor,0.0,4.203438036322447e-66,1.0,2
JAWA BARAT,Sukabumi,1.5609895368236954e-249,0.005242681399654851,0.9947573186003453,2
JAWA BARAT,Cianjur,1.742697979136183e-109,0.7165130346203008,0.28348696537969925,1
JAWA BARAT,Bandung,0.0,4.393917219611467e-15,0.9999999999999956,2
JAWA BARAT,Garut,1.6733601972952382e-169,0.24469376152285113,0.7553062384771487,2
JAWA BARAT,Tasikmalaya,4.265559126980884e-60,0.9642973758953134,0.03570262410468662,1
JAWA BARAT,Ciamis,2.984784794893146e-46,0.9776476788121308,0.022352321187869267,1
JAWA BARAT,Kuningan,1.0461194536947805e-24,0.8522480196741049,0.1477519803258949,1
JAWA BARAT,Cirebon,2.223391586759704e-119,0.680166903263261,0.31983309673673865,1
JAWA BARAT,Majalengka,3.2676200621468505e-48,0.9821850350809906,0.017814964919009392,1
JAWA BARAT,Sumedang,9.061678917362627e-55,0.9005849568509261,0.09941504314907411,1
JAWA BARAT,Indramayu,0.0,4.692704153823706e-05,0.9999530729584616,2
JAWA BARAT,Subang,2.199084469218413e-81,0.7561638307367893,0.2438361692632108,1
JAWA BARAT,Purwakarta,1.0691116015750727e-237,0.008184008381001784,0.9918159916189979,2
JAWA BARAT,Karawang,0.0,2.8969139758076845e-73,1.0,2
JAWA BARAT,Bekasi,0.0,3.3793894429116573e-186,1.0,2
JAWA BARAT,Bandung Barat,5.051427735483347e-100,0.5480469190755405,0.4519530809244597,1
JAWA BARAT,Pangandaran,0.007706564678942868,0.9858751140733163,0.006418321247740886,1
JAWA BARAT,Kota Bogor,1.7062456871149016e-109,0.19234954619263142,0.8076504538073681,2
JAWA BARAT,Kota Sukabumi,0.0015538233135671457,0.4914161439313586,0.5070300327550741,2
JAWA BARAT,Kota Bandung,0.0,3.8881544448885227e-112,1.0,2
JAWA BARAT,Kota Cirebon,1.0312272102587114e-22,0.7987862989057829,0.20121370109421696,1
JAWA BARAT,Kota Bekasi,0.0,3.0109355498704716e-09,0.9999999969890645,2
JAWA BARAT,Kota Depok,2.39272169782155e-266,0.002014950770062092,0.9979850492299378,2
JAWA BARAT,Kota Cimahi,7.275646904465838e-46,0.17322920074009954,0.8267707992599008,2
JAWA BARAT,Kota Tasikmalaya,4.229172707477908e-20,0.9827774435764185,0.017222556423581465,1
