Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
JAWA TIMUR,Bangkalan,17152779,8.07,21.57,64.36,0
JAWA TIMUR,Sampang,13984568,3.45,23.76,62.8,2
JAWA TIMUR,Pamekasan,11496236,3.1,15.3,66.4,0
JAWA TIMUR,Sumenep,24161351,2.31,20.51,67.04,0
JAWA TIMUR,Kota Kediri,86485594,6.37,7.75,78.6,1
JAWA TIMUR,Kota Blitar,4924572,6.61,7.89,78.98,1
JAWA TIMUR,Kota Malang,53309702,9.65,4.62,82.04,1
JAWA TIMUR,Kota Probolinggo,8361142,6.55,7.44,73.66,0
JAWA TIMUR,Kota Pasuruan,5914585,6.23,6.88,75.62,0
JAWA TIMUR,Kota Mojokerto,4976490,6.87,6.39,78.43,1
JAWA TIMUR,Kota Madiun,10748101,8.15,5.09,81.25,1
JAWA TIMUR,Kota Surabaya,407726799,9.68,5.23,82.31,1
JAWA TIMUR,Kota Batu,11471435,6.57,4.09,76.28,1
BANTEN,Pandeglang,20127757,7.7,10.72,65.17,0
BANTEN,Lebak,21245043,7.86,10.29,64.03,0
BANTEN,Tangerang,97809902,9.06,7.12,72.29,1
BANTEN,Serang,54992522,10.58,5.49,66.82,1
BANTEN,Kota Tangerang,106705227,9.07,5.93,78.5,1
BANTEN,Kota Cilegon,77071368,10.13,4.24,73.35,1
BANTEN,Kota Serang,23374085,9.41,6.79,72.44,1
BANTEN,Kota Tangerang Selatan,62364158,8.6,2.57,81.6,1
BALI,Jembrana,8892801,4.11,5.06,72.75,0
BALI,Tabanan,14516578,3.94,5.12,76.45,0
BALI,Badung,29049519,6.93,2.62,81.83,1
BALI,Gianyar,17254614,6.9,4.85,77.7,1
BALI,Klungkung,5595883,5.35,5.64,71.75,0
BALI,Bangli,4384701,1.8,5.09,69.37,0
BALI,Karang Asem,10570603,2.32,6.78,67.36,0
BALI,Buleleng,21797733,5.38,6.12,72.56,0
BALI,Kota Denpasar,32447056,7.02,2.96,84.03,1
NUSA TENGGARA BARAT,Lombok Barat,10472388,3.32,14.47,68.61,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,2.33,13.44,66.72,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,2.79,15.38,66.66,0
NUSA TENGGARA BARAT,Sumbawa,10221006,3.39,13.91,68.01,0
NUSA TENGGARA BARAT,Dompu,4979197,3.02,12.6,68.45,0
NUSA TENGGARA BARAT,Bima,8085529,1.58,14.88,66.66,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,5.52,13.54,71.85,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,1.75,27.04,64.77,2
NUSA TENGGARA BARAT,Kota Mataram,13476129,5.19,8.65,79.14,0
NUSA TENGGARA BARAT,Kota Bima,2939133,3.56,8.88,76.11,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,1.74,28.39,63.83,2
NUSA TENGGARA TIMUR,Sumba Timur,4009592,3.35,29.68,65.74,2
NUSA TENGGARA TIMUR,Kupang,4885118,3.99,22.98,64.41,2
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,2.57,26.64,62.16,2
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,3.88,22.62,63.69,2
NUSA TENGGARA TIMUR,Belu,3020198,5.35,15.68,62.77,0
NUSA TENGGARA TIMUR,Alor,2045994,2.59,21.09,61.37,2
NUSA TENGGARA TIMUR,Lembata,1180363,4.94,26.21,64.75,2
NUSA TENGGARA TIMUR,Flores Timur,3517877,3.81,11.14,64.22,0
NUSA TENGGARA TIMUR,Sikka,3371315,4.54,13.35,65.41,0
NUSA TENGGARA TIMUR,Ende,4162984,2.61,24.13,67.3,2
NUSA TENGGARA TIMUR,Ngada,2335872,2.99,12.58,67.88,0
NUSA TENGGARA TIMUR,Manggarai,3025880,3.7,20.48,65.01,0
NUSA TENGGARA TIMUR,Rote Ndao,1971699,3.67,28.08,62.6,2
